0,Белая Гора (поселок городского типа)
0,Абый (село)
0,Кенг-Кюель (село)
0,Куберганя (село)
0,Деску (село)
0,Сутуруоха (село)
0,Сыаганнах (село)
0,Оттох-Атах (село)
2,Алдан (город)
2,Томмот (город)
2,Безымянный (поселок городского типа)
2,Большой Нимныр (поселок городского типа)
2,Верхний Куранах (село)
2,Верхняя Амга (село)
2,Заречный (село)
2,Кутана (село)
2,Лебединый (поселок городского типа)
2,Ленинский (поселок городского типа)
2,Нижний Куранах (поселок городского типа)
2,Угоян (село)
2,Улуу (село)
2,Хатыстыр (село)
2,Чагда (село)
2,Ыллымах (поселок городского типа)
2,Якокит (село)
2,Якокут (село)
2,Солнечный (микрорайон)
2,Алексеевск (микрорайон)
2,Дивный (микрорайон)
2,Синегорье (микрорайон)
2,Орочен 2-й (село)
2,Орочен 1-й (село)
3,Чокурдах (поселок городского типа)
3,Нычалах (село)
3,Оленегорск (село)
3,Русское Устье (село)
3,Чкалов (село)
3,Ойотунг (село)
3,Воронцово (село)
4,Амга (село)
4,Абага (село)
4,Алтанцы (село)
4,Бетюнцы (село)
4,Болугур (село)
4,Михайловка (село)
4,Мяндиги (село)
4,Оннес (село)
4,Покровка (село)
4,Сатагай (село)
4,Сулгаччы (село)
4,Чакыр 2-й (село)
4,Чапчылган (село)
4,Эмиссы (село)
4,Булун (село)
4,Ефремово (село)
4,Олом-Кюеле (село)
4,Уорай (село)
4,Промкомбинат (село)
4,Сэргэ-Бэс (село)
4,Тегюльтя (село)
5,Саскылах (село)
5,Эбелях (село)
5,Юрюнг-Хая (село)
6,Тикси 1-й (поселок городского типа)
6,Быковский (село)
6,Кюсюр (село)
6,Найба (село)
6,Намы (село)
6,Сиктях (село)
6,Таймылыр (село)
6,Усть-Оленек (село)
6,Тикси 3-й (поселок городского типа)
6,Чекуровка (село)
6,Склад (село)
6,Быковский (населенный пункт)
7,Верхневилюйск (село)
7,Андреевский (село)
7,Балаганнах (село)
7,Ботулу (село)
7,Быракан (село)
7,Куду уч-к (село)
7,Далыр (село)
7,Дюллюкю (село)
7,Харыялах (село)
7,Кетердех (село)
7,Кырыкый (село)
7,Май (село)
7,Харбала (село)
7,Сайылык (село)
7,Хомустах (село)
7,Липпе-Атах (село)
7,Оросу (село)
7,Багадя (село)
7,Тамалакан (село)
7,Оргет (село)
7,Туобуя (село)
7,Кюль (село)
7,Хомустах (село)
7,Хоро (село)
7,Кулусуннах уч-к (село)
7,Давыдов уч-к (поселок)
7,Кентик (село)
7,Кюлят уч-к (поселок)
7,Магассы (село)
7,Меик (село)
7,Нам (село)
7,Онхой (село)
7,Харбалах (село)
7,Булгунняхтах (село)
7,Тойоку (село)
7,Сургулук (село)
7,Суругулук (село)
7,Кентик (село)
7,Магассы (село)
7,Меик (село)
7,Нам (село)
7,Онхой (село)
7,Сургулук (село)
7,Тойоку (село)
7,Харбалах (село)
7,Булгунняхтах (село)
7,Бютейдях (село)
7,Быччагдан (село)
7,Ченгере (село)
7,Кенг-Кюель (село)
8,Зырянка (поселок городского типа)
8,Верхнеколымск (село)
8,Нелемное (село)
8,Угольное (село)
8,Усун-Кюель (село)
8,Утая (село)
9,Верхоянск (город)
9,Батагай (поселок городского типа)
9,Алысардах (село)
9,Бала (село)
9,Барылас (село)
9,Бетенкес (село)
9,Боронук (село)
9,Томтор Дулгалахского наслега (село)
9,Лазо (поселок городского типа)
9,Мачах (село)
9,Метяки (село)
9,Осохтох (село)
9,Сайды (село)
9,Столбы (село)
9,Суордах (село)
9,Сысы-Мейите (село)
9,Токума (село)
9,Томтор (село)
9,Улахан-Кюель (село)
9,Хайысардах (село)
9,Чолбон (село)
9,Черюмче (село)
9,Эсэ-Хайя (поселок городского типа)
9,Юнкюр (село)
9,Юттях (село)
9,Сентачан (село)
9,Усть-Чаркы (село)
9,Энгя-Сайылыга (село)
9,Юрдюк Кумах (село)
10,Вилюйск (город)
10,Балагаччы (село)
10,Бетюнг (село)
10,Екюндю (село)
10,Кысыл-Сыр (поселок городского типа)
10,Лекечен (село)
10,Тасагар (село)
10,Тымпы (село)
10,Хампа (село)
10,Илбенге (село)
10,Чай (село)
10,Эбя (село)
10,Кеданда (село)
10,Усун (село)
10,Кюлекянь (село)
10,Сатагай (село)
10,Тербяс (село)
10,Кюбяинде (село)
10,Кирово (село)
10,Тосу (село)
10,Сыдыбыл (село)
10,Чинеке (село)
10,Сосновка (населенный пункт)
10,Староватово (населенный пункт)
10,Кюнде (село)
11,Бердигестях (село)
11,Асыма (село)
11,Бясь-Кюель (село)
11,Дикимдя (село)
11,Ерт (село)
11,Кептин (село)
11,Кюерелях (село)
11,Магарас (село)
